,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,Amahai,-3.3333,128.9167,83.16,71,77,0.78,ID,1635118227
340,Tarauaca,-8.1614,-70.7656,83.07,63,83,3.38,BR,1635118229
341,Santa Catalina,9.3337,122.8637,82.09,76,76,1.39,PH,1635118230
342,Mosquera,4.7059,-74.2302,57.29,94,75,6.91,CO,1635118232
343,Inhambane,-23.865,35.3833,73.24,88,100,4.45,MZ,1635118233
344,Kalavad,22.2167,70.3833,73.83,74,0,5.48,IN,1635118234
345,Sinnamary,5.3833,-52.95,77.94,91,100,10.76,GF,1635118236
346,Sawtell,-30.3833,153.1,75.18,72,40,9.22,AU,1635118237
347,Kenai,60.5544,-151.2583,46.45,73,1,4.61,US,1635118239
348,Monroe,43.1501,-77.6831,52.95,78,90,5.75,US,1635117970
349,Iwaki,37.05,140.8833,63.23,57,13,4.05,JP,1635118241
350,Souillac,-20.5167,57.5167,74.35,78,40,11.5,MU,1635118244
351,Biltine,14.5333,20.9167,82.81,22,8,15.21,TD,1635118246
352,Mitzic,0.7821,11.549,68.31,99,75,2.57,GA,1635118247
